,Dialogue,Model,Summary,origin,Annotations,Reference_Summary
14,"['Alan: <file_photo>', 'Alan: look what I just found :)', ""Robert: dude, that's just nasty and you know it :)"", 'Robert: it has no sugar, no taste, and additional cinnamon flavoring', ""Alan: yeah, I know - that's awesome :)"", 'Robert: you sir have a very strange tastes :P', 'Alan: well, and I found a perfect company for it <file_photo>', ""Robert: oh, that's more like it!"", 'Robert: but does the whiskey go well with the cinnamon? flavored whiskey is the worst...', 'Alan: Actually it does taste surprisingly well. The cinnamon is not overpowering. If you put enough whiskey that is :)', 'Rob: Lol, thought so :)', 'Rob: I just wish the brought the old cherry flavor back...', 'Rob: not the useless no-sugar stuff', 'Alan: Ah, that is true :)']",bart,Natacha will pick Charles up at the station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}",Alan has found some cinnamon whiskey and sends Robert photos of it. 
15,"['Kane: have you heard the new 30 seconds to mars album?', 'Shannon: no, is it good?', 'Kane: you should so check it out', 'Shannon: ok thanks for the recommendation', 'Kane: no prob']",gpt3_finetune,Charles will probably arrive at the train station Vesinet at 5:30 pm. Natacha will pick him up.,SAMSum,"{'Charles will probably arrive at the train station Vesinet at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}",Kane recommends the new 30 Seconds to Mars album to Shannon.
16,"['Kane: have you heard the new 30 seconds to mars album?', 'Shannon: no, is it good?', 'Kane: you should so check it out', 'Shannon: ok thanks for the recommendation', 'Kane: no prob']",pegasus,Natacha will pick Charles up at the RER at 5:30 pm. Charles will be at the station Vesinet at 5:30 pm. Charles will call Natacha when he arrives.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('5:30 pm', 'intrinsic', 'CirE')], 'Charles will be at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}",Kane recommends the new 30 Seconds to Mars album to Shannon.
17,"['Kane: have you heard the new 30 seconds to mars album?', 'Shannon: no, is it good?', 'Kane: you should so check it out', 'Shannon: ok thanks for the recommendation', 'Kane: no prob']",structure_aware_bart,Natacha will pick Charles up at the RER at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}",Kane recommends the new 30 Seconds to Mars album to Shannon.
18,"['Kane: have you heard the new 30 seconds to mars album?', 'Shannon: no, is it good?', 'Kane: you should so check it out', 'Shannon: ok thanks for the recommendation', 'Kane: no prob']",condigsum,Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.': [('the RER station Vesinet', 'intrinsic', 'CirE')]}",Kane recommends the new 30 Seconds to Mars album to Shannon.
19,"['Kane: have you heard the new 30 seconds to mars album?', 'Shannon: no, is it good?', 'Kane: you should so check it out', 'Shannon: ok thanks for the recommendation', 'Kane: no prob']",bart,Natacha will pick Charles up at the station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}",Kane recommends the new 30 Seconds to Mars album to Shannon.
20,"[""Sybille: Hello, i'm trying to make my online registration  for the flight AF3581 from Minneapolis to Paris the 29th, but i only get an error message. Here is my file number NRTTU and my flying blue number XXXX. Thanks for you help"", 'Air France: Hello Sybille, we acknowledge receipt of your message and return to you as soon as possible.', 'Air France: After checking your flight is operated by Delta Airlines for departure from the United States. Online registration works from the Delta  site.', ""Sybille: Hello again , i still have trouble for my son' s online registration. I'm really angry as it cost me more than 40 euros  for 20 minutes on your short number 3654, and still i don't have any answer. He couldn't get his flight yesterday, so i asked for it to be postpone. I twice gave my credit number but still the ticket is not delivered."", 'Air France: Of course, i give the file to an agent.', 'Air France: Please, be awared it could take 24 hours', ""Sybille: I can't wait so long. My son is only 16 year old and he has to sleep in the airport, with no mean to leave his luggage as he has no ticket."", ""Air France: Hello Sybille, we're very sorry . We could offer you a departure on flight DL140 from Minneapolis to Paris. We'll return to you."", 'Sybille: My  phone number is XXXX, please call me back as soon as possible', ""Sybille: Hello, i was again on line with people from the  short number. They told me that they've done everything possible but my payment can't be accepted because the flight is operated by Delta. Please consider a young stuck in US with no possibilites  for coming back just because of Delta and Air France sharing code, can't  share payment. Shame on you."", ""Air France: We'll get in touch with Delta US  and return to you quickly"", 'Sybille: thanks a lot', 'Air France: We just send  you by email the new ticket for you son. We remain at your disposal.', ""Sybille: Thanks a lot, you're more efficient than the  hotline.""]",gpt3_finetune,Charles will probably arrive at the train station Vesinet at 5:30 pm. Natacha will pick him up.,SAMSum,"{'Charles will probably arrive at the train station Vesinet at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}","Sybille is angry, because she cannot make a reservation for the flight from Minneapolis to Paris. Air France managed to solve the issue."
21,"[""Sybille: Hello, i'm trying to make my online registration  for the flight AF3581 from Minneapolis to Paris the 29th, but i only get an error message. Here is my file number NRTTU and my flying blue number XXXX. Thanks for you help"", 'Air France: Hello Sybille, we acknowledge receipt of your message and return to you as soon as possible.', 'Air France: After checking your flight is operated by Delta Airlines for departure from the United States. Online registration works from the Delta  site.', ""Sybille: Hello again , i still have trouble for my son' s online registration. I'm really angry as it cost me more than 40 euros  for 20 minutes on your short number 3654, and still i don't have any answer. He couldn't get his flight yesterday, so i asked for it to be postpone. I twice gave my credit number but still the ticket is not delivered."", 'Air France: Of course, i give the file to an agent.', 'Air France: Please, be awared it could take 24 hours', ""Sybille: I can't wait so long. My son is only 16 year old and he has to sleep in the airport, with no mean to leave his luggage as he has no ticket."", ""Air France: Hello Sybille, we're very sorry . We could offer you a departure on flight DL140 from Minneapolis to Paris. We'll return to you."", 'Sybille: My  phone number is XXXX, please call me back as soon as possible', ""Sybille: Hello, i was again on line with people from the  short number. They told me that they've done everything possible but my payment can't be accepted because the flight is operated by Delta. Please consider a young stuck in US with no possibilites  for coming back just because of Delta and Air France sharing code, can't  share payment. Shame on you."", ""Air France: We'll get in touch with Delta US  and return to you quickly"", 'Sybille: thanks a lot', 'Air France: We just send  you by email the new ticket for you son. We remain at your disposal.', ""Sybille: Thanks a lot, you're more efficient than the  hotline.""]",pegasus,Natacha will pick Charles up at the RER at 5:30 pm. Charles will be at the station Vesinet at 5:30 pm. Charles will call Natacha when he arrives.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('5:30 pm', 'intrinsic', 'CirE')], 'Charles will be at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}","Sybille is angry, because she cannot make a reservation for the flight from Minneapolis to Paris. Air France managed to solve the issue."
22,"[""Sybille: Hello, i'm trying to make my online registration  for the flight AF3581 from Minneapolis to Paris the 29th, but i only get an error message. Here is my file number NRTTU and my flying blue number XXXX. Thanks for you help"", 'Air France: Hello Sybille, we acknowledge receipt of your message and return to you as soon as possible.', 'Air France: After checking your flight is operated by Delta Airlines for departure from the United States. Online registration works from the Delta  site.', ""Sybille: Hello again , i still have trouble for my son' s online registration. I'm really angry as it cost me more than 40 euros  for 20 minutes on your short number 3654, and still i don't have any answer. He couldn't get his flight yesterday, so i asked for it to be postpone. I twice gave my credit number but still the ticket is not delivered."", 'Air France: Of course, i give the file to an agent.', 'Air France: Please, be awared it could take 24 hours', ""Sybille: I can't wait so long. My son is only 16 year old and he has to sleep in the airport, with no mean to leave his luggage as he has no ticket."", ""Air France: Hello Sybille, we're very sorry . We could offer you a departure on flight DL140 from Minneapolis to Paris. We'll return to you."", 'Sybille: My  phone number is XXXX, please call me back as soon as possible', ""Sybille: Hello, i was again on line with people from the  short number. They told me that they've done everything possible but my payment can't be accepted because the flight is operated by Delta. Please consider a young stuck in US with no possibilites  for coming back just because of Delta and Air France sharing code, can't  share payment. Shame on you."", ""Air France: We'll get in touch with Delta US  and return to you quickly"", 'Sybille: thanks a lot', 'Air France: We just send  you by email the new ticket for you son. We remain at your disposal.', ""Sybille: Thanks a lot, you're more efficient than the  hotline.""]",structure_aware_bart,Natacha will pick Charles up at the RER at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}","Sybille is angry, because she cannot make a reservation for the flight from Minneapolis to Paris. Air France managed to solve the issue."
23,"[""Sybille: Hello, i'm trying to make my online registration  for the flight AF3581 from Minneapolis to Paris the 29th, but i only get an error message. Here is my file number NRTTU and my flying blue number XXXX. Thanks for you help"", 'Air France: Hello Sybille, we acknowledge receipt of your message and return to you as soon as possible.', 'Air France: After checking your flight is operated by Delta Airlines for departure from the United States. Online registration works from the Delta  site.', ""Sybille: Hello again , i still have trouble for my son' s online registration. I'm really angry as it cost me more than 40 euros  for 20 minutes on your short number 3654, and still i don't have any answer. He couldn't get his flight yesterday, so i asked for it to be postpone. I twice gave my credit number but still the ticket is not delivered."", 'Air France: Of course, i give the file to an agent.', 'Air France: Please, be awared it could take 24 hours', ""Sybille: I can't wait so long. My son is only 16 year old and he has to sleep in the airport, with no mean to leave his luggage as he has no ticket."", ""Air France: Hello Sybille, we're very sorry . We could offer you a departure on flight DL140 from Minneapolis to Paris. We'll return to you."", 'Sybille: My  phone number is XXXX, please call me back as soon as possible', ""Sybille: Hello, i was again on line with people from the  short number. They told me that they've done everything possible but my payment can't be accepted because the flight is operated by Delta. Please consider a young stuck in US with no possibilites  for coming back just because of Delta and Air France sharing code, can't  share payment. Shame on you."", ""Air France: We'll get in touch with Delta US  and return to you quickly"", 'Sybille: thanks a lot', 'Air France: We just send  you by email the new ticket for you son. We remain at your disposal.', ""Sybille: Thanks a lot, you're more efficient than the  hotline.""]",condigsum,Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.': [('the RER station Vesinet', 'intrinsic', 'CirE')]}","Sybille is angry, because she cannot make a reservation for the flight from Minneapolis to Paris. Air France managed to solve the issue."
24,"[""Sybille: Hello, i'm trying to make my online registration  for the flight AF3581 from Minneapolis to Paris the 29th, but i only get an error message. Here is my file number NRTTU and my flying blue number XXXX. Thanks for you help"", 'Air France: Hello Sybille, we acknowledge receipt of your message and return to you as soon as possible.', 'Air France: After checking your flight is operated by Delta Airlines for departure from the United States. Online registration works from the Delta  site.', ""Sybille: Hello again , i still have trouble for my son' s online registration. I'm really angry as it cost me more than 40 euros  for 20 minutes on your short number 3654, and still i don't have any answer. He couldn't get his flight yesterday, so i asked for it to be postpone. I twice gave my credit number but still the ticket is not delivered."", 'Air France: Of course, i give the file to an agent.', 'Air France: Please, be awared it could take 24 hours', ""Sybille: I can't wait so long. My son is only 16 year old and he has to sleep in the airport, with no mean to leave his luggage as he has no ticket."", ""Air France: Hello Sybille, we're very sorry . We could offer you a departure on flight DL140 from Minneapolis to Paris. We'll return to you."", 'Sybille: My  phone number is XXXX, please call me back as soon as possible', ""Sybille: Hello, i was again on line with people from the  short number. They told me that they've done everything possible but my payment can't be accepted because the flight is operated by Delta. Please consider a young stuck in US with no possibilites  for coming back just because of Delta and Air France sharing code, can't  share payment. Shame on you."", ""Air France: We'll get in touch with Delta US  and return to you quickly"", 'Sybille: thanks a lot', 'Air France: We just send  you by email the new ticket for you son. We remain at your disposal.', ""Sybille: Thanks a lot, you're more efficient than the  hotline.""]",bart,Natacha will pick Charles up at the station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}","Sybille is angry, because she cannot make a reservation for the flight from Minneapolis to Paris. Air France managed to solve the issue."
25,"[""Callan: Something's wrong with my Samsung S8."", 'Wade: What, exactly?', 'Callan: All I get is a black screen.', 'Wade: Did you drop it or something?', 'Callan: I think I know, this has happened before.', 'Wade:  It did? What happened before?', 'Callan: It overheats and then it takes a while for it to restart again..', 'Wade: That sucks.. Be carefull with the battery, it can be dangerous.', ""Callan: It sure can, but I'm going to the store and let them see it. It's still under warranty."", 'Wade: Will you lose all your stuff?', 'Callan: No, I always back up my files.']",gpt3_finetune,Charles will probably arrive at the train station Vesinet at 5:30 pm. Natacha will pick him up.,SAMSum,"{'Charles will probably arrive at the train station Vesinet at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}","Callan's Samsung S8 overheats, so he's going to the store to get it repaired."
26,"[""Callan: Something's wrong with my Samsung S8."", 'Wade: What, exactly?', 'Callan: All I get is a black screen.', 'Wade: Did you drop it or something?', 'Callan: I think I know, this has happened before.', 'Wade:  It did? What happened before?', 'Callan: It overheats and then it takes a while for it to restart again..', 'Wade: That sucks.. Be carefull with the battery, it can be dangerous.', ""Callan: It sure can, but I'm going to the store and let them see it. It's still under warranty."", 'Wade: Will you lose all your stuff?', 'Callan: No, I always back up my files.']",pegasus,Natacha will pick Charles up at the RER at 5:30 pm. Charles will be at the station Vesinet at 5:30 pm. Charles will call Natacha when he arrives.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('5:30 pm', 'intrinsic', 'CirE')], 'Charles will be at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}","Callan's Samsung S8 overheats, so he's going to the store to get it repaired."
27,"[""Callan: Something's wrong with my Samsung S8."", 'Wade: What, exactly?', 'Callan: All I get is a black screen.', 'Wade: Did you drop it or something?', 'Callan: I think I know, this has happened before.', 'Wade:  It did? What happened before?', 'Callan: It overheats and then it takes a while for it to restart again..', 'Wade: That sucks.. Be carefull with the battery, it can be dangerous.', ""Callan: It sure can, but I'm going to the store and let them see it. It's still under warranty."", 'Wade: Will you lose all your stuff?', 'Callan: No, I always back up my files.']",structure_aware_bart,Natacha will pick Charles up at the RER at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}","Callan's Samsung S8 overheats, so he's going to the store to get it repaired."
28,"[""Callan: Something's wrong with my Samsung S8."", 'Wade: What, exactly?', 'Callan: All I get is a black screen.', 'Wade: Did you drop it or something?', 'Callan: I think I know, this has happened before.', 'Wade:  It did? What happened before?', 'Callan: It overheats and then it takes a while for it to restart again..', 'Wade: That sucks.. Be carefull with the battery, it can be dangerous.', ""Callan: It sure can, but I'm going to the store and let them see it. It's still under warranty."", 'Wade: Will you lose all your stuff?', 'Callan: No, I always back up my files.']",condigsum,Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.': [('the RER station Vesinet', 'intrinsic', 'CirE')]}","Callan's Samsung S8 overheats, so he's going to the store to get it repaired."
29,"[""Callan: Something's wrong with my Samsung S8."", 'Wade: What, exactly?', 'Callan: All I get is a black screen.', 'Wade: Did you drop it or something?', 'Callan: I think I know, this has happened before.', 'Wade:  It did? What happened before?', 'Callan: It overheats and then it takes a while for it to restart again..', 'Wade: That sucks.. Be carefull with the battery, it can be dangerous.', ""Callan: It sure can, but I'm going to the store and let them see it. It's still under warranty."", 'Wade: Will you lose all your stuff?', 'Callan: No, I always back up my files.']",bart,Natacha will pick Charles up at the station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}","Callan's Samsung S8 overheats, so he's going to the store to get it repaired."
